manager,nationality,start_date,end_date,is_incumbent,is_caretaker,duration_days,departure_reason,days_to_next_job,sacked_flag,club
José Mourinho,Portugal,02/06/2004,20/09/2007,0,0,1205,,,,Chelsea
Marco Silva,Portugal,27/05/2017,21/01/2018,0,0,239,,,,Watford
Marco Silva,Portugal,05/01/2017,25/05/2017,0,0,140,,,,Hull
Marco Silva,Portugal,01/07/2021,02/06/2026,0,0,1797,,,,Fulham
Marco Silva,Portugal,31/05/2018,05/12/2019,0,0,553,,,,Everton
Nuno Espírito Santo,Portugal,20/12/2023,09/09/2025,0,0,629,,,,Nott'm Forest
Nuno Espírito Santo,Portugal,31/05/2017,23/05/2021,0,0,1453,,,,Wolves
Nuno Espírito Santo,Portugal,27/09/2025,,0,0,276,,,,West Ham
Nuno Espírito Santo,Portugal,30/06/2021,01/11/2021,0,0,124,,,,Tottenham
Ruben Amorim,Portugal,11/11/2024,05/01/2026,0,0,420,,,,Man United
Vítor Pereira,Portugal,19/12/2024,02/11/2025,0,0,318,,,,Wolves
Vítor Pereira,Portugal,15/02/2026,,1,0,135,,,,Nott'm Forest
Chris Hughton,Republic of Ireland,07/06/2012,06/04/2014,0,0,668,,,,Norwich
Chris Hughton,Republic of Ireland,08/09/2008,28/09/2008,0,1,20,,,,Newcastle
Chris Hughton,Republic of Ireland,31/12/2014,13/05/2019,0,0,1594,,,,Brighton
Chris Hughton,Republic of Ireland,01/06/2009,06/12/2010,0,0,553,,,,Newcastle
David O'Leary,Republic of Ireland,20/05/2003,19/07/2006,0,0,1156,,,,Aston Villa
Joe Kinnear,Republic of Ireland,29/09/2008,01/04/2009,0,0,184,,,,Newcastle
Keith Andrews,Republic of Ireland,27/06/2025,,1,0,368,,,,Brentford
Mick McCarthy,Republic of Ireland,05/08/2006,14/02/2012,0,0,2019,,,,Wolves
Mick McCarthy,Republic of Ireland,12/03/2003,06/03/2006,0,0,1090,,,,Sunderland
Owen Coyle,Republic of Ireland,27/11/2007,05/01/2010,0,0,770,,,,Burnley
Owen Coyle,Republic of Ireland,08/01/2010,09/10/2012,0,0,1005,,,,Bolton
Paddy McCarthy,Republic of Ireland,17/03/2023,21/03/2023,0,1,4,,,,Crystal Palace
Paddy McCarthy,Republic of Ireland,19/02/2024,19/02/2024,0,1,0,,,,Crystal Palace
Roy Keane,Republic of Ireland,30/08/2006,04/12/2008,0,0,827,,,,Sunderland
Alan Irvine,Scotland,14/06/2014,29/12/2014,0,0,199,,,,West Brom
Alex Ferguson,Scotland,06/11/1986,01/06/2013,0,0,9704,,,,Man United
